years,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2003,3,2,3977,3435,546,597,647,794,565,517,486,526
2004,610,663,1004,1303,654,901,825,877,1033,1016,1652,1112
2005,1188,1284,902,1144,1392,1346,1530,2276,1422,1298,1467,1133
2006,1544,1570,1946,1801,2272,2571,3297,2865,2562,2983,3077,2891
2007,3013,2673,2710,2540,2834,2192,2690,2481,1366,1295,1110,987
2008,847,1072,1643,1299,890,747,643,682,606,590,535,582
2009,372,403,426,567,390,501,407,618,333,435,226,475
2010,263,304,336,385,387,385,443,516,254,312,307,218
2011,389,254,311,289,381,386,308,401,397,366,279,388
2012,524,356,377,392,304,529,469,422,396,290,253,275
2013,357,360,403,545,888,659,1145,1012,1221,1095,903,983
